Start	End	Direction
hsa:51176	hsa:6932	0
hsa:51176	hsa:6934	0
hsa:51176	hsa:83439	0
hsa:6932	hsa:6934	0
hsa:6932	hsa:83439	0
hsa:6934	hsa:83439	0
hsa:1499	hsa:51176	1
hsa:1499	hsa:6932	1
hsa:1499	hsa:6934	1
hsa:1499	hsa:83439	1
hsa:5290	hsa:5291	0
hsa:5290	hsa:5293	0
hsa:5290	hsa:5295	0
hsa:5290	hsa:5296	0
hsa:5290	hsa:8503	0
hsa:5291	hsa:5293	0
hsa:5291	hsa:5295	0
hsa:5291	hsa:5296	0
hsa:5291	hsa:8503	0
hsa:5293	hsa:5295	0
hsa:5293	hsa:5296	0
hsa:5293	hsa:8503	0
hsa:5295	hsa:5296	0
hsa:5295	hsa:8503	0
hsa:5296	hsa:8503	0
hsa:3845	hsa:5290	1
hsa:3845	hsa:5291	1
hsa:3845	hsa:5293	1
hsa:3845	hsa:5295	1
hsa:3845	hsa:5296	1
hsa:3845	hsa:8503	1
hsa:10000	hsa:207	0
hsa:10000	hsa:208	0
hsa:207	hsa:208	0
hsa:5290	hsa:10000	1
hsa:5290	hsa:207	1
hsa:5290	hsa:208	1
hsa:5291	hsa:10000	1
hsa:5291	hsa:207	1
hsa:5291	hsa:208	1
hsa:5293	hsa:10000	1
hsa:5293	hsa:207	1
hsa:5293	hsa:208	1
hsa:5295	hsa:10000	1
hsa:5295	hsa:207	1
hsa:5295	hsa:208	1
hsa:5296	hsa:10000	1
hsa:5296	hsa:207	1
hsa:5296	hsa:208	1
hsa:8503	hsa:10000	1
hsa:8503	hsa:207	1
hsa:8503	hsa:208	1
hsa:369	hsa:5894	0
hsa:369	hsa:673	0
hsa:5894	hsa:673	0
hsa:3845	hsa:369	1
hsa:3845	hsa:5894	1
hsa:3845	hsa:673	1
hsa:3845	hsa:5900	1
hsa:387	hsa:5879	0
hsa:387	hsa:5880	0
hsa:387	hsa:5881	0
hsa:5879	hsa:5880	0
hsa:5879	hsa:5881	0
hsa:5880	hsa:5881	0
hsa:5599	hsa:5601	0
hsa:5599	hsa:5602	0
hsa:5601	hsa:5602	0
hsa:387	hsa:5599	1
hsa:387	hsa:5601	1
hsa:387	hsa:5602	1
hsa:5879	hsa:5599	1
hsa:5879	hsa:5601	1
hsa:5879	hsa:5602	1
hsa:5880	hsa:5599	1
hsa:5880	hsa:5601	1
hsa:5880	hsa:5602	1
hsa:5881	hsa:5599	1
hsa:5881	hsa:5601	1
hsa:5881	hsa:5602	1
hsa:51176	hsa:332	1
hsa:6932	hsa:332	1
hsa:6934	hsa:332	1
hsa:83439	hsa:332	1
hsa:51176	hsa:4609	1
hsa:6932	hsa:4609	1
hsa:6934	hsa:4609	1
hsa:83439	hsa:4609	1
hsa:51176	hsa:595	1
hsa:6932	hsa:595	1
hsa:6934	hsa:595	1
hsa:83439	hsa:595	1
hsa:3725	hsa:595	1
hsa:2353	hsa:595	1
hsa:4609	hsa:595	1
hsa:836	hsa:1630	1
hsa:10000	hsa:2932	1
hsa:207	hsa:2932	1
hsa:208	hsa:2932	1
hsa:10000	hsa:572	1
hsa:207	hsa:572	1
hsa:208	hsa:572	1
hsa:10000	hsa:842	1
hsa:207	hsa:842	1
hsa:208	hsa:842	1
hsa:5604	hsa:5605	0
hsa:369	hsa:5604	1
hsa:369	hsa:5605	1
hsa:5894	hsa:5604	1
hsa:5894	hsa:5605	1
hsa:673	hsa:5604	1
hsa:673	hsa:5605	1
hsa:5594	hsa:5595	0
hsa:5604	hsa:5594	1
hsa:5604	hsa:5595	1
hsa:5605	hsa:5594	1
hsa:5605	hsa:5595	1
hsa:5594	hsa:3725	1
hsa:5595	hsa:3725	1
hsa:5594	hsa:2353	1
hsa:5595	hsa:2353	1
hsa:5594	hsa:4609	1
hsa:5595	hsa:4609	1
hsa:2932	hsa:1499	1
hsa:842	hsa:26060	0
hsa:1630	hsa:842	1
hsa:1630	hsa:26060	1
hsa:842	hsa:836	1
hsa:26060	hsa:836	1
hsa:7046	hsa:7048	0
hsa:4087	hsa:4088	0
hsa:7046	hsa:4087	1
hsa:7046	hsa:4088	1
hsa:7048	hsa:4087	1
hsa:7048	hsa:4088	1
hsa:4087	hsa:4089	0
hsa:4088	hsa:4089	0
hsa:5898	hsa:5899	0
hsa:5900	hsa:5898	1
hsa:5900	hsa:5899	1
hsa:5898	hsa:387	1
hsa:5898	hsa:5879	1
hsa:5898	hsa:5880	1
hsa:5898	hsa:5881	1
hsa:5899	hsa:387	1
hsa:5899	hsa:5879	1
hsa:5899	hsa:5880	1
hsa:5899	hsa:5881	1
hsa:581	hsa:596	1
hsa:5366	hsa:596	1
hsa:572	hsa:596	1
hsa:10018	hsa:596	1
hsa:27113	hsa:596	1
hsa:7157	hsa:1026	1
hsa:10912	hsa:1647	0
hsa:10912	hsa:4616	0
hsa:1647	hsa:4616	0
hsa:7157	hsa:10912	1
hsa:7157	hsa:1647	1
hsa:7157	hsa:4616	1
hsa:7157	hsa:581	1
hsa:7157	hsa:578	1
hsa:7157	hsa:1643	1
hsa:7157	hsa:51426	1
hsa:1950	hsa:1956	1
hsa:7039	hsa:1956	1
hsa:2069	hsa:1956	1
hsa:374	hsa:1956	1
hsa:1956	hsa:2885	1
hsa:6654	hsa:6655	0
hsa:2885	hsa:6654	1
hsa:2885	hsa:6655	1
hsa:3265	hsa:3845	0
hsa:3265	hsa:4893	0
hsa:3845	hsa:4893	0
hsa:6654	hsa:3265	1
hsa:6654	hsa:3845	1
hsa:6654	hsa:4893	1
hsa:6655	hsa:3265	1
hsa:6655	hsa:3845	1
hsa:6655	hsa:4893	1
hsa:3265	hsa:369	1
hsa:3265	hsa:5894	1
hsa:3265	hsa:673	1
hsa:4893	hsa:369	1
hsa:4893	hsa:5894	1
hsa:4893	hsa:673	1
hsa:10000	hsa:2475	1
hsa:207	hsa:2475	1
hsa:208	hsa:2475	1
hsa:6198	hsa:6199	0
hsa:2475	hsa:6198	1
hsa:2475	hsa:6199	1
hsa:1956	hsa:5290	1
hsa:1956	hsa:5291	1
hsa:1956	hsa:5293	1
hsa:1956	hsa:5295	1
hsa:1956	hsa:5296	1
hsa:1956	hsa:8503	1
